decoder,d,p,num_samples,num_errors,p_L,p_L_stderr,shot_hash,timestamp
MWPM,11,0.005,20000,91,0.00455,0.00047588325774290484,c9b0dac6,2026-04-15T22:36:08.438908
SimpleNN,11,0.006,20000,9686,0.4843,0.0035337905285967365,85427c31,2026-04-15T22:36:23.484134
GraphSAGE,11,0.006,20000,5759,0.28795,0.003201833830010546,85427c31,2026-04-15T22:36:23.484134
MWPM,11,0.006,20000,245,0.01225,0.0007778154504765253,85427c31,2026-04-15T22:36:23.484134
SimpleNN,11,0.007,20000,9795,0.48975,0.0035347909238029906,fe8d23f8,2026-04-15T22:36:41.128887
GraphSAGE,11,0.007,20000,7234,0.3617,0.0033975955468536862,fe8d23f8,2026-04-15T22:36:41.128887
MWPM,11,0.007,20000,574,0.0287,0.0011805996357783617,fe8d23f8,2026-04-15T22:36:41.128887
SimpleNN,11,0.008,20000,9886,0.4943,0.0035353041594748252,78ea1a6e,2026-04-15T22:37:01.484420
GraphSAGE,11,0.008,20000,8231,0.41155,0.003479774400015035,78ea1a6e,2026-04-15T22:37:01.484420
MWPM,11,0.008,20000,1094,0.0547,0.0016079165090265104,78ea1a6e,2026-04-15T22:37:01.484420
SimpleNN,13,0.001,20000,4895,0.24475,0.0030401269504742724,ebd4e23f,2026-04-15T22:37:24.300703
GraphSAGE,13,0.001,20000,1251,0.06255,0.0017122718461155635,ebd4e23f,2026-04-15T22:37:24.300703
MWPM,13,0.001,20000,0,0.0,0.0,ebd4e23f,2026-04-15T22:37:24.300703
SimpleNN,13,0.002,20000,7933,0.39665,0.0034591818216162043,4191bc68,2026-04-15T22:37:32.431605
GraphSAGE,13,0.002,20000,2952,0.1476,0.0025081291832758537,4191bc68,2026-04-15T22:37:32.431605
MWPM,13,0.002,20000,0,0.0,0.0,4191bc68,2026-04-15T22:37:32.431605
SimpleNN,13,0.003,20000,9150,0.4575,0.003522738636345308,4f0d96c5,2026-04-15T22:37:43.906633
GraphSAGE,13,0.003,20000,3594,0.1797,0.0027148472332711466,4f0d96c5,2026-04-15T22:37:43.906633
MWPM,13,0.003,20000,0,0.0,0.0,4f0d96c5,2026-04-15T22:37:43.906633
SimpleNN,13,0.004,20000,9540,0.477,0.003531791330189257,b5011360,2026-04-15T22:37:59.592141
GraphSAGE,13,0.004,20000,4878,0.2439,0.0030365505923662787,b5011360,2026-04-15T22:37:59.592141
MWPM,13,0.004,20000,10,0.0005,0.0001580743495953724,b5011360,2026-04-15T22:37:59.592141
SimpleNN,13,0.005,20000,9883,0.49415,0.0035352919080324893,b86390a1,2026-04-15T22:38:19.741775
GraphSAGE,13,0.005,20000,6516,0.3258,0.003314018406708086,b86390a1,2026-04-15T22:38:19.741775
MWPM,13,0.005,20000,61,0.00305,0.0003899164974709329,b86390a1,2026-04-15T22:38:19.741775
SimpleNN,13,0.006,20000,10037,0.50185,0.003535509705120324,6ab0c821,2026-04-15T22:38:42.778943
GraphSAGE,13,0.006,20000,7841,0.39205,0.003452150036571412,6ab0c821,2026-04-15T22:38:42.778943
MWPM,13,0.006,20000,198,0.0099,0.0007000710678209749,6ab0c821,2026-04-15T22:38:42.778943
SimpleNN,13,0.007,20000,9948,0.4974,0.0035354861051911943,3265f2fb,2026-04-15T22:39:06.947429
GraphSAGE,13,0.007,20000,8794,0.4397,0.003509728693218323,3265f2fb,2026-04-15T22:39:06.947429
MWPM,13,0.007,20000,478,0.0239,0.0010800182868822177,3265f2fb,2026-04-15T22:39:06.947429
SimpleNN,13,0.008,20000,9962,0.4981,0.003535508379285785,0e9d9487,2026-04-15T22:39:33.199196
GraphSAGE,13,0.008,20000,9268,0.4634,0.0035260490637539347,0e9d9487,2026-04-15T22:39:33.199196
MWPM,13,0.008,20000,1184,0.0592,0.0016687624156841501,0e9d9487,2026-04-15T22:39:33.199196
