split_name,distance,p_value,accuracy,error_rate,ler,mwpm_ler,ler_ratio
b2_d5more,9,0.008,0.5972,0.4028,0.4028,0.054,7.459259259259259
b2_d5more,11,0.001,0.9726,0.0273999999999999,0.0273999999999999,0.0,inf
b2_d5more,11,0.002,0.8407,0.1593,0.1593,0.0,inf
b2_d5more,11,0.003,0.7053,0.2946999999999999,0.2946999999999999,0.0003,982.3333333333331
b2_d5more,11,0.004,0.628,0.372,0.372,0.0016,232.5
b2_d5more,11,0.005,0.5761,0.4239,0.4239,0.0041,103.39024390243901
b2_d5more,11,0.006,0.5585,0.4415,0.4415,0.0102,43.28431372549019
b2_d5more,11,0.007,0.5353,0.4647,0.4647,0.0277,16.776173285198556
b2_d5more,11,0.008,0.5161,0.4839,0.4839,0.0545,8.878899082568807
b2_d5more,13,0.001,0.8782,0.1218,0.1218,0.0,inf
b2_d5more,13,0.002,0.6432,0.3568,0.3568,0.0,inf
b2_d5more,13,0.003,0.569,0.431,0.431,0.0,inf
b2_d5more,13,0.004,0.5265,0.4735,0.4735,0.0004,1183.7499999999998
b2_d5more,13,0.005,0.5129,0.4871,0.4871,0.0032,152.21874999999997
b2_d5more,13,0.006,0.5093,0.4907,0.4907,0.0108,45.43518518518518
b2_d5more,13,0.007,0.5,0.5,0.5,0.0272,18.38235294117647
b2_d5more,13,0.008,0.503,0.497,0.497,0.0543,9.152854511970533
b3_balanced,9,0.001,0.9954,0.0046,0.0046,0.0,inf
b3_balanced,9,0.002,0.9676,0.0323999999999999,0.0323999999999999,0.0001,323.999999999999
b3_balanced,9,0.003,0.9148,0.0852,0.0852,0.0003,284.0
b3_balanced,9,0.004,0.8492,0.1508,0.1508,0.0025,60.31999999999999
b3_balanced,9,0.005,0.7613,0.2387,0.2387,0.0065,36.723076923076924
b3_balanced,9,0.006,0.71,0.29,0.29,0.0162,17.901234567901234
b3_balanced,9,0.007,0.6485,0.3515,0.3515,0.0335,10.492537313432834
b3_balanced,9,0.008,0.6078,0.3922,0.3922,0.054,7.262962962962963
b3_balanced,11,0.001,0.9742,0.0258,0.0258,0.0,inf
b3_balanced,11,0.002,0.8645,0.1354999999999999,0.1354999999999999,0.0,inf
b3_balanced,11,0.003,0.7422,0.2578,0.2578,0.0003,859.3333333333334
b3_balanced,11,0.004,0.6692,0.3308,0.3308,0.0016,206.74999999999997
b3_balanced,11,0.005,0.6038,0.3962,0.3962,0.0041,96.6341463414634
b3_balanced,11,0.006,0.5798,0.4202,0.4202,0.0102,41.19607843137255
b3_balanced,11,0.007,0.5388,0.4612,0.4612,0.0277,16.64981949458484
